CE;Naturaleza;Denom. Genérica Centro;Cód. RCD Centro;Centro;Domicilio;coordenadas;Cód. Postal;Provincia;Municipio;Enseñanza (agrupada);Enseñanza;Modalidad;Curso;Sexo;Edad;Nº Alumnos
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601547;FUNDACIÓN PICARRAL;C/ CAMINO DE LOS MOLINOS, 12;;50015;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Total;Total;Hombre;16 Años;5
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601547;FUNDACIÓN PICARRAL;C/ CAMINO DE LOS MOLINOS, 12;;50015;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Total;Total;Hombre;17 Años;5
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601547;FUNDACIÓN PICARRAL;C/ CAMINO DE LOS MOLINOS, 12;;50015;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Total;Total;Hombre;18 Años;5
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601547;FUNDACIÓN PICARRAL;C/ CAMINO DE LOS MOLINOS, 12;;50015;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Total;Total;Hombre;19 Años;2
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601547;FUNDACIÓN PICARRAL;C/ CAMINO DE LOS MOLINOS, 12;;50015;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Total;Total;Mujer;17 Años;2
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601547;FUNDACIÓN PICARRAL;C/ CAMINO DE LOS MOLINOS, 12;;50015;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Total;Total;Mujer;20 Años;1
2019/2020;privado;Escuela Pública de Música y/o Danza;22005005;ESCUELA DE MÚSICA MIGUEL FLETA;DR. ARTERO, 2;;22004;Huesca;Huesca;ARTÍSTICAS;Enseñanzas no regladas de la Música LOGSE;Total;Especialidad General;Hombre;Hasta 12 Años;9
2019/2020;privado;Escuela Pública de Música y/o Danza;22005005;ESCUELA DE MÚSICA MIGUEL FLETA;DR. ARTERO, 2;;22004;Huesca;Huesca;ARTÍSTICAS;Enseñanzas no regladas de la Música LOGSE;Total;Especialidad General;Hombre;Más de 18 Años;5
2019/2020;privado;Escuela Pública de Música y/o Danza;22005005;ESCUELA DE MÚSICA MIGUEL FLETA;DR. ARTERO, 2;;22004;Huesca;Huesca;ARTÍSTICAS;Enseñanzas no regladas de la Música LOGSE;Total;Especialidad General;Mujer;Hasta 12 Años;10
2019/2020;privado;Escuela Pública de Música y/o Danza;22005005;ESCUELA DE MÚSICA MIGUEL FLETA;DR. ARTERO, 2;;22004;Huesca;Huesca;ARTÍSTICAS;Enseñanzas no regladas de la Música LOGSE;Total;Especialidad General;Mujer;13 a 18 Años;5
