nombrecentro;pctextranjeros
LOS ALBARES;6.41283
JOSEFA AMAR Y BORBÓN;6.36183
REYES CATÓLICOS;6.34921
CALASANZ;6.34675
TIEMPOS MODERNOS;6.27208
HILARIÓN GIMENO;6.26003
CARDELINA;6.25
DE LANAJA;6.25
LA COMETA;6.25
SALESIANO NTRA. SRA.DEL PILAR;6.22907
PIRÁMIDE;6.2212
PEDRO CERRADA;6.19159
LA SALLE FRANCISCANAS;6.18557
CINCA-CINQUETA;6.17284
DE LA PUEBLA DE ALFINDÉN;6.13497
PEDRO J. RUBIO;6.08974
RAMÓN Y CAJAL;6.06061
OCTAVUS;6.00858
MAESTRO DON PEDRO ORÓS;5.94059
VIRGEN DEL ROMERAL;5.86081
SANTA ANA;5.78125
DE ALTORRICÓN;5.76923
JULIÁN NIETO TAPIA;5.76541
AGUSTINA DE ARAGÓN;5.76208
CONCEPCIÓN BAÑERES;5.71429
DE MOVERA;5.66502
LOBETANO;5.66038
MONTEARAGÓN;5.60538
BRITÁNICO DE ARAGÓN;5.57377
FORMACCIONA;5.56962
VERO-ALCANADRE;5.55556
ESCUELA DE ARTE DE HUESCA;5.55556
MONTANUY;5.55556
LAS ANEJAS;5.55556
LA PAZ;5.55556
LA FUENFRESCA;5.49085
VADORREY-LES ALLÉES;5.42453
DE VALDERROBRES;5.40541
ISABELINOS;5.40541
Disminuidos Físicos de Aragón;5.40541
CARDENAL XAVIERRE;5.36649
BÉCQUER;5.35714
RÍO VERO;5.33333
E.F.A. EL SALTO;5.26316
ARSENIO JIMENO;5.22388
SANTA ROSA;5.22273
INFANTA ELENA;5.21327
CENTRO DE ENSEÑANZAS DEPORTIVAS-ENTEDE;5.17241
ESCUELAS PÍAS;5.12821
DE ALCAÑIZ;5.12821
VAL DE LA ATALAYA;5.11073
